Номер_группы;Название_группы;Название_группы_укр;Идентификатор_группы;Номер_родителя;Идентификатор_родителя
136059491;Хондроитин;Хондроїтин;;81301367;
136059504;Яичный протеин;Яєчний протеїн;;75771810;
136061701;ТОВАРЫ ДЛЯ ДОМА;ТОВАРИ ДЛЯ ДОМУ;;;
136262330;Аксессуары для спорта;Аксесуари для спорту;75756600;136052686;
136262350;Хондропротекторы;;81104577;81301367;
136262364;Мультивитамины;Мультивітаміни;81148946;136052057;
136262369;Витамины для малышей;;81148979;81148976;
136262371;Витамины для мужчин;Вітаміни для чоловіків;81149040;136052057;
136262386;Витаминные комплексы A D E;;81150000;81149989;
136262425;Пищеварение;Травлення;81301939;136052335;
136262443;Чеснок;;81304101;81303660;
136262458;Улучшение сна;Поліпшення сну;81304333;136052335;
136262461;Кожа, волосы, ногти;Шкіра, волосся, нігті;81304525;136052335;
136262469;N-ацетилцистеин;;81305963;81304983;
136262476;Ламинария;;81306795;81306789;
136262504;Зубная паста;Зубна паста;104052352;136052440;
136262530;Литий;Літій;136052183;136052057;
136262531;Серебро;Срібло;136052187;136052057;
136262532;Марганец;Марганець;136052189;136052057;
136262533;Бады для похудения и снижения аппетита;Бади для схуднення і зниження апетиту;136052361;136052335;
136262534;Аксессуары для красоты;Аксесуари для краси;136052679;136052440;
136262535;Другие антиоксиданты;;136054370;81304983;
136262536;Бромелайн;;136054392;136262425;81301939
136262537;Гарциния;;136055040;136262533;136052361
136262538;Псиллиум;;136055059;81306789;
136262539;Майтаке;;136055068;136052353;
136262540;Рейши;;136055070;136052353;
136262541;Мака;;136058538;81306789;
136262542;Поликозанол;;136058557;81304983;
136262544;Черника;;136058566;81304240;
136262545;Кофеин;;136059367;136052692;
136262547;Кре-Алкалин;;136059495;75757867;
136262548;Говяжий;;136059502;75771810;
136262549;Комплексный протеин;;136059503;75771810;
136277486;Витамины В;Вітаміни В;81150100;136052057;
