Номер_группы;Название_группы;Название_группы_укр;Идентификатор_группы;Номер_родителя;Ссылка_изображения_группы
81301634;Акулий жир и хрящ;Акулячий жир і хрящ;;81301367;https://images.prom.ua/3229562840_akulij-zhir-i.jpg
81301939;Пищеварение;Травлення;;136052335;https://images.prom.ua/2136832054_pischevarenie.jpg
81302191;Комплексы для улучшения пищеварения;Комплекси для поліпшення травлення;;81301939;https://images.prom.ua/3229584609_kompleksy-dlya-uluchsheniya.jpg
81302196;Бетаин HCL (Триметилглицин);Бетаїн HCL (Триметилгліцин);;81301939;https://images.prom.ua/3229586128_betain-hcl-trimetilglitsin.jpg
81302205;Пробиотики;Пробіотики;;81301939;https://images.prom.ua/3229590626_probiotiki.jpg
81302209;Клетчатка;Клітковина;;81301939;https://images.prom.ua/3229587771_kletchatka.jpg
81302214;Ферменты и энзимы;Ферменти та ензими;;81301939;https://images.prom.ua/3229593695_fermenty-i-enzimy.jpg
81302218;БАДы для нормализации уровня сахара;БАДи для нормалізації рівня цукру;;81301939;https://images.prom.ua/3229597139_bady-dlya-normalizatsii.jpg
81302566;Комплексы детоксикации;Комплекси детоксикації;;113587347;https://images.prom.ua/3229603742_kompleksy-detoksikatsii.jpg
81302569;Силимарин (Расторопша);Силімарин (Розторопша);;113587347;https://images.prom.ua/3229606706_silimarin-rastoropsha.jpg
81302850;Сердце и сосуды;Серце та судини;;136052335;https://images.prom.ua/2136836773_serdtse-i-sosudy.jpg
81302854;Комплексы поддержки здоровья сердца и сосудов;Комплекси підтримки здоров'я серця й судин;;81302850;https://images.prom.ua/3229621872_kompleksy-podderzhki-zdorovya.jpg
81303507;Артериальное давление;Артеріальний тиск;;81302850;https://images.prom.ua/3229625778_arterialnoe-davlenie.jpg
81303512;Снижение уровня холестерина;Зниження рівня холестерину;;81302850;https://images.prom.ua/3229628796_snizhenie-urovnya-holesterina.jpg
81303514;Наттокиназа;Наттокиназа;;81302850;https://images.prom.ua/6061706371_nattokinaza.jpg
81303660;Иммунитет;Імунітет;;136052335;https://images.prom.ua/2136839254_immunitet.jpg
81303668;Комплексы для иммунитета;Комплекси для імунітету;;81303660;https://images.prom.ua/3229632942_kompleksy-dlya-immuniteta.jpg
81303670;Колострум;Колострум;;81303660;https://images.prom.ua/3229634716_kolostrum.jpg
81304097;Эхинацея;Ехінацея;;81303660;https://images.prom.ua/3229636644_ehinatseya.jpg
81304098;Витамин С;Вітамін С;;136052057;https://images.prom.ua/3229637940_vitamin-s.jpg
81304101;Чеснок;Часник;;81303660;https://images.prom.ua/6167722770_chesnok.jpg
81304107;Бузина;Бузина;;81303660;https://images.prom.ua/6167723140_buzina.jpg
81304145;Почки и мочеполовая система;Нирки та сечостатева система;;136052335;https://images.prom.ua/2136853117_pochki-i-mochepolovaya.jpg
81304146;Комплексы поддержки;Комплекси підтримки;;81304145;https://images.prom.ua/3229640366_kompleksy-podderzhki.jpg
81304148;Манноза;Маноза;;81304145;https://images.prom.ua/3229641645_mannoza.jpg
81304179;Клюква;Журавлина;;81304145;https://images.prom.ua/3229643034_klyukva.jpg
81304217;Память и работа мозга;Пам'ять і робота мозку;;136052335;https://images.prom.ua/2136849699_pamyat-i-rabota.jpg
81304218;Концентрация и внимание;Концентрація та увага;;81304217;https://images.prom.ua/3229645152_kontsentratsiya-i-vnimanie.jpg
81304220;Улучшение памяти;Поліпшення пам'яті;;81304217;https://images.prom.ua/3229646150_uluchshenie-pamyati.jpg
81304224;Против стресса;Проти стресу;;81304217;https://images.prom.ua/3229647518_protiv-stressa.jpg
81304230;Фосфолипиды;Фосфоліпіди;;81304217;https://images.prom.ua/3229650420_fosfolipidy.jpg
81304233;ДМАЭ;ДМАЕ;;81304217;https://images.prom.ua/3229651640_dmae.jpg
81304235;Гинкго Билоба;Гінкго Білоба;;81304217;https://images.prom.ua/3229654038_ginkgo-biloba.jpg
81304240;Зрение и здоровье глаз;Бади для зору і здоров'я очей;;136052335;https://images.prom.ua/2136855519_zrenie-i-zdorove.jpg
81304247;Комплексы защиты зрения;Комплекси захисту зору;;81304240;https://images.prom.ua/3229658235_kompleksy-zaschity-zreniya.jpg
81304331;Астаксантин;Астаксантин;;81304240;https://images.prom.ua/3229660582_astaksantin.jpg
81304333;Улучшение сна;Поліпшення сну;;136052335;https://images.prom.ua/2136859390_uluchshenie-sna.jpg
81304336;Комплексы для улучшения сна;Комплекси для поліпшення сну;;81304333;https://images.prom.ua/3229663863_kompleksy-dlya-uluchsheniya.jpg
81304512;Здоровье щитовидной железы;Бади для щитовидної залози;;136052335;https://images.prom.ua/2136860971_zdorove-schitovidnoj-zhelezy.jpg
81304525;Кожа, волосы, ногти;Шкіра, волосся, нігті;;136052335;https://images.prom.ua/3229537410_kozha-volosy-nogti.jpg
81304531;Комплексы для волос, ногтей и кожи;Комплекси для волосся, нігтів і шкіри;;81304525;https://images.prom.ua/3229666302_kompleksy-dlya-volos.jpg
81304538;Коллаген;Колаген;;136052057;https://images.prom.ua/3229668133_kollagen.jpg
81304583;Биотин;Біотин;;81150100;https://images.prom.ua/3229672314_biotin.jpg
81304983;Антиоксиданты;Антиоксиданти;;136052335;https://images.prom.ua/2136877472_antioksidanty.jpg
81304990;Альфа Липоевая кислота;Альфа Ліпоєва кислота;;81304983;https://images.prom.ua/3229674570_alfa-lipoevaya-kislota.jpg
81305806;Глутатион;Глутатіон;;81304983;https://images.prom.ua/3229680458_glutation.jpg
